Tempo;Canal A;Canal B
(ms);(V);(mV)

33,67955079;3,00134277;-0,45167392
33,84339079;3,00134277;0,00305185
34,00723079;3,04620504;-0,45167392
34,17107079;3,00134277;0,00305185
34,33491079;3,04620504;0,00305185
34,49875079;2,95648050;0,00305185
34,66259078;3,04620504;0,00305185
34,82643078;3,00134277;0,00305185
34,99027078;3,00134277;0,00305185
35,15411078;3,04620504;0,00305185
35,31795078;3,00134277;0,00305185
35,48179078;3,04620504;0,00305185
35,64563078;3,04620504;0,00305185
35,80947078;3,00134277;0,00305185
35,97331078;3,00134277;0,00305185
36,13715078;3,04620504;0,00305185
36,30099077;3,04620504;0,00305185
36,46483077;3,04620504;0,00305185
36,62867077;3,04620504;0,00305185
36,79251077;3,04620504;0,00305185
36,95635077;3,04620504;0,00305185
37,12019077;3,00134277;0,00305185
37,28403077;3,04620504;0,45625171
37,44787077;3,04620504;0,00305185
37,61171077;2,95648050;-0,45167392
37,77555077;3,00134277;0,00305185
37,93939076;3,00134277;0,00305185
38,10323076;2,95648050;0,00305185
38,26707076;3,04620504;0,00305185
38,43091076;3,00134277;0,00305185
38,59475076;3,00134277;0,00305185
38,75859076;3,00134277;0,00305185
38,92243076;3,00134277;0,00305185
39,08627076;2,95648050;-0,45167392
39,25011076;3,04620504;0,00305185
39,41395076;3,04620504;0,00305185
39,57779075;3,04620504;0,00305185
39,74163075;3,04620504;0,00305185
39,90547075;3,04620504;0,00305185
40,06931075;3,00134277;0,00305185
40,23315075;3,00134277;0,00305185
40,39699075;3,04620504;0,00305185
40,56083075;3,04620504;0,00305185
40,72467075;3,04620504;0,00305185
40,88851075;3,00134277;0,00305185
41,05235075;3,00134277;0,00305185
41,21619074;3,00134277;0,00305185
41,38003074;3,04620504;0,00305185
41,54387074;3,00134277;0,00305185
41,70771074;3,04620504;0,00305185
41,87155074;3,04620504;0,00305185
42,03539074;3,00134277;0,00305185
42,19923074;3,04620504;0,00305185
42,36307074;3,04620504;0,00305185
42,52691074;3,04620504;0,00305185
42,69075074;3,04620504;0,00305185
42,85459073;3,04620504;0,00305185
43,01843073;3,00134277;0,00305185
43,18227073;3,00134277;-0,45167392
43,34611073;3,00134277;0,00305185
43,50995073;3,04620504;0,00305185
43,67379073;3,00134277;-0,45167392
43,83763073;2,95648050;0,00305185
44,00147073;3,04620504;0,00305185
44,16531073;3,00134277;0,00305185
44,32915073;3,00134277;0,00305185
